Population Size,Generations,Mutation Rate,Elitism Rate,Crossover Type,Final Distance,Solution Time,Gap to Optimal (%),Best Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.1,0.05,erx,889.0407090747481,484.1240463256836,12.23823606465229,"[26, 96, 81, 71, 54, 16, 41, 97, 86, 73, 31, 27, 90, 2, 18, 60, 61, 46, 59, 40, 24, 37, 7, 51, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 14, 19, 85, 48, 43, 38, 12, 91, 3, 82, 9, 93, 55, 36, 87, 69, 20, 0, 98, 56, 72, 95, 42, 25, 11, 4, 65, 33, 44, 13, 6, 22, 77, 23, 62, 47, 88, 53, 67, 94, 29, 74, 21, 79, 84, 1, 39, 34, 92, 89, 76, 70, 17, 78, 58, 52, 83, 8, 5, 45, 80, 28, 68, 50, 63, 35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.1,0.05,erx,889.0407090747481,244.26742696762085,12.23823606465229,"[26, 96, 81, 71, 54, 16, 41, 97, 86, 73, 31, 27, 90, 2, 18, 60, 61, 46, 59, 40, 24, 37, 7, 51, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 14, 19, 85, 48, 43, 38, 12, 91, 3, 82, 9, 93, 55, 36, 87, 69, 20, 0, 98, 56, 72, 95, 42, 25, 11, 4, 65, 33, 44, 13, 6, 22, 77, 23, 62, 47, 88, 53, 67, 94, 29, 74, 21, 79, 84, 1, 39, 34, 92, 89, 76, 70, 17, 78, 58, 52, 83, 8, 5, 45, 80, 28, 68, 50, 63, 35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.1,0.05,edge,893.7706510228273,231.0241916179657,12.835374458340837,"[96, 81, 71, 97, 54, 16, 41, 86, 73, 31, 70, 76, 89, 7, 27, 90, 2, 51, 60, 61, 19, 14, 18, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 85, 48, 43, 38, 12, 55, 93, 36, 46, 37, 24, 40, 72, 56, 59, 20, 69, 87, 91, 3, 82, 9, 0, 98, 4, 44, 13, 6, 22, 62, 47, 29, 23, 77, 84, 33, 65, 11, 25, 42, 95, 92, 34, 39, 1, 79, 21, 74, 94, 53, 88, 67, 80, 45, 8, 5, 17, 78, 58, 52, 83, 28, 68, 50, 63, 35, 26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.1,0.05,edge,893.7706510228273,454.7837276,12.835374458340837,"[96, 81, 71, 97, 54, 16, 41, 86, 73, 31, 70, 76, 89, 7, 27, 90, 2, 51, 60, 61, 19, 14, 18, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 85, 48, 43, 38, 12, 55, 93, 36, 46, 37, 24, 40, 72, 56, 59, 20, 69, 87, 91, 3, 82, 9, 0, 98, 4, 44, 13, 6, 22, 62, 47, 29, 23, 77, 84, 33, 65, 11, 25, 42, 95, 92, 34, 39, 1, 79, 21, 74, 94, 53, 88, 67, 80, 45, 8, 5, 17, 78, 58, 52, 83, 28, 68, 50, 63, 35, 26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.1,0.1,edge,916.1976142530186,172.65312337875366,15.666699016991448,"[53, 88, 47, 62, 6, 22, 77, 13, 44, 33, 84, 11, 65, 4, 98, 59, 0, 20, 9, 82, 3, 91, 69, 87, 93, 55, 36, 12, 43, 38, 46, 61, 60, 37, 24, 40, 56, 72, 42, 25, 1, 39, 21, 74, 29, 23, 79, 34, 95, 92, 89, 17, 76, 70, 7, 51, 27, 31, 73, 32, 15, 10, 2, 90, 18, 14, 19, 85, 48, 30, 75, 99, 49, 57, 64, 66, 41, 16, 54, 97, 86, 58, 78, 94, 5, 8, 52, 83, 28, 71, 81, 96, 26, 35, 63, 68, 50, 80, 45, 67]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1000,0.1,0.1,edge,936.4112048587064,87.35467290878296,18.21859313270248,"[14, 18, 10, 2, 90, 15, 32, 73, 31, 27, 51, 7, 70, 76, 17, 89, 92, 95, 34, 79, 23, 29, 74, 21, 39, 1, 25, 42, 72, 56, 40, 24, 37, 60, 61, 46, 38, 43, 12, 36, 55, 93, 87, 69, 20, 91, 3, 82, 9, 0, 59, 98, 4, 65, 11, 84, 33, 44, 13, 77, 22, 6, 62, 47, 53, 88, 67, 45, 80, 50, 68, 63, 35, 81, 96, 26, 71, 28, 83, 52, 8, 5, 94, 78, 58, 86, 97, 54, 16, 41, 66, 64, 57, 49, 99, 75, 30, 48, 85, 19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.05,0.1,erx,940.5484116488228,182.69839763641357,18.740900815148926,"[71, 97, 54, 16, 41, 73, 86, 58, 52, 83, 8, 78, 17, 70, 76, 89, 24, 37, 51, 7, 27, 31, 90, 2, 15, 32, 64, 66, 57, 49, 99, 75, 30, 10, 18, 60, 61, 46, 36, 93, 55, 12, 38, 19, 14, 85, 48, 43, 91, 3, 82, 87, 69, 9, 20, 0, 59, 56, 98, 4, 65, 33, 44, 13, 6, 62, 23, 22, 77, 84, 11, 25, 95, 92, 40, 72, 42, 34, 39, 1, 79, 21, 74, 29, 94, 5, 53, 88, 47, 67, 80, 45, 28, 68, 50, 63, 35, 26, 96, 81]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.1,0.05,edge,963.3606599,181.26864767074585,21.620866245290056,"[46, 37, 24, 40, 56, 72, 95, 92, 42, 25, 11, 34, 39, 1, 79, 21, 23, 47, 62, 6, 22, 77, 13, 44, 84, 33, 65, 4, 98, 0, 59, 69, 20, 9, 82, 3, 91, 87, 93, 55, 36, 12, 38, 43, 48, 85, 30, 75, 64, 57, 99, 49, 66, 41, 16, 54, 97, 86, 26, 96, 35, 81, 71, 28, 68, 63, 50, 80, 45, 94, 5, 8, 73, 31, 70, 17, 78, 58, 52, 83, 67, 88, 53, 29, 74, 89, 76, 7, 51, 60, 27, 90, 2, 15, 32, 10, 18, 14, 19, 61]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.05,0.1,edge,964.3186818485453,172.75876426696777,21.74181311394976,"[96, 26, 97, 54, 16, 41, 66, 49, 99, 57, 64, 32, 15, 10, 2, 90, 51, 7, 27, 31, 73, 86, 70, 60, 19, 85, 43, 48, 30, 75, 14, 18, 61, 37, 24, 46, 38, 12, 36, 55, 93, 91, 3, 82, 9, 20, 69, 87, 40, 56, 59, 0, 98, 4, 33, 84, 44, 13, 6, 22, 62, 23, 77, 79, 1, 42, 72, 95, 92, 25, 11, 65, 34, 39, 21, 74, 29, 47, 88, 53, 67, 94, 89, 76, 17, 78, 58, 52, 83, 8, 5, 45, 80, 50, 63, 68, 28, 71, 81, 35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.1,0.05,erx,966.0912022112627,191.90947222709656,21.965587522556003,"[24, 37, 55, 36, 12, 38, 19, 14, 18, 85, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 2, 90, 27, 60, 61, 46, 51, 7, 70, 31, 73, 41, 16, 54, 97, 86, 71, 81, 96, 26, 35, 63, 68, 50, 53, 88, 47, 62, 23, 22, 77, 79, 74, 29, 94, 67, 80, 45, 28, 83, 8, 52, 58, 78, 17, 76, 89, 5, 21, 39, 34, 92, 95, 40, 72, 42, 25, 1, 84, 6, 13, 44, 33, 65, 11, 4, 56, 59, 98, 0, 20, 69, 9, 82, 3, 91, 93, 87]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
